Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
320.006,-1215.85,-961.909,12040,24220,-7560
329.095,-1315.34,-989.298,14140,34160,-18690
340.075,-1371.28,-1073.66,19110,43820,-32760
349.103,-1379.58,-1114.47,27790,59080,-49630
348.188,-1355.66,-1051.09,38500,76860,-66290
353.861,-1322.36,-980.941,48300,89950,-79310
362.95,-1301.01,-931.775,55160,98070,-88550
386.435,-1289.97,-895.663,57960,102690,-95690
396.195,-1286.19,-861.076,55720,105140,-102060
416.569,-1297.04,-797.087,49560,105420,-107030
431.148,-1304.85,-775.676,40950,101500,-112000
442.372,-1300.09,-768.356,28000,97440,-116340
450.363,-1280.76,-704.245,12880,94150,-121450
452.925,-1273.44,-660.264,-2100,87080,-125510
451.095,-1262.52,-685.823,-18620,79520,-129080
433.283,-1257.45,-640.195,-32130,76720,-133420
428.891,-1238.6,-641.903,-41790,71960,-137200
419.619,-1231.22,-663.314,-49490,68810,-141890
408.761,-1210.79,-670.634,-54530,68810,-148400
403.332,-1162.66,-675.636,-58450,70630,-156660
377.407,-1089.89,-657.336,-62090,74830,-166110
345.138,-995.947,-598.532,-64330,79800,-173880
331.535,-936.411,-545.462,-65380,82250,-177730
336.049,-906.948,-513.071,-65310,82320,-180180
340.624,-889.014,-491.843,-64820,81060,-182630
350.018,-871.446,-489.769,-65030,79520,-186340
346.358,-822.341,-484.706,-64890,79660,-192990
326.289,-758.718,-482.449,-63070,80990,-199710
310.673,-667.035,-498.98,-61320,84700,-205870
286.334,-564.86,-464.515,-59360,92120,-210770
268.156,-487.573,-422.608,-54460,98980,-212310
293.898,-454.389,-385.398,-48650,103880,-211190
322.019,-423.828,-339.038,-44380,107170,-211610
341.661,-424.133,-288.713,-39970,107380,-214060
356.972,-349.591,-233.02,-38150,105280,-217000
379.786,-336.537,-231.678,-35420,100240,-220010
362.706,-260.47,-239.181,-34300,96880,-226730
353.251,-198.86,-188.124,-33250,96460,-231560
355.813,-98.576,-147.559,-29750,93660,-234290
367.403,2.44,-123.403,-25410,89880,-232330
398.208,28.792,-140.056,-18970,85050,-226030
437.187,31.72,-176.046,-12460,81270,-219240
467.504,5.124,-225.761,-7000,81270,-216860
481.778,-8.479,-251.198,-2450,84350,-219870
470.798,-18.239,-243.024,420,90020,-228970
439.871,53.741,-173.789,1190,97790,-242550
412.238,170.678,-107.482,6020,103950,-256690
370.819,273.463,-55.632,14560,108640,-267960
330.437,391.254,-12.139,23590,113820,-276500
304.512,515.633,42.334,33180,119700,-283570
275.476,636.779,106.689,45780,123900,-291130
239.059,749.507,170.983,58940,125510,-297850
210.206,896.456,233.935,68600,121870,-300090
165.493,1024.25,249.429,74900,113120,-294630
116.571,1081.47,336.659,71330,98560,-284060
99.918,1210.06,305.976,57890,77210,-271110
90.402,1329.8,246.196,44800,56140,-249060
90.646,1426.97,160.308,30730,38780,-217280
136.579,1505.79,74.115,18270,26880,-178010
185.257,1516.34,-9.455,9940,19740,-135310
245.83,1465.65,-46.665,2870,17500,-92540
326.045,1403.31,-41.419,-1400,16240,-52710
387.289,1275.51,-31.049,-2730,14070,-16590
455.853,1103.8,12.017,-3780,11550,13020
531.432,947.696,52.643,-4620,6300,33250
595.909,827.038,61.671,-3290,-1260,45570
657.702,728.645,62.525,-1400,-8960,52710
708.698,654.286,43.92,560,-15820,55720
756.217,601.643,33.306,2030,-21420,56280
791.597,552.965,15.982,2870,-27020,54880
818.315,531.554,-21.838,2380,-31850,51450
838.567,516.609,-49.959,1540,-34440,47390
846.192,503.25,-72.651,560,-35560,42560
849.73,517.951,-104.188,-490,-35280,36610
852.902,537.41,-129.015,-1470,-33250,31290
848.632,550.891,-139.751,-2240,-30310,26250
835.7,575.047,-146.461,-2520,-27300,20790
817.339,598.166,-156.77,-2450,-24150,16590
800.32,613.66,-161.467,-2450,-20860,13650
781.044,627.751,-170.8,-2450,-17430,11060
764.086,643.123,-178.547,-2660,-13790,8820
751.581,663.07,-183.427,-3290,-10080,7490
743.834,683.81,-182.939,-4410,-6580,7350
744.566,692.35,-164.456,-5740,-3850,8470
749.08,682.59,-141.642,-6860,-2590,10010
753.35,671.854,-126.148,-8190,-2940,11130
754.936,661.179,-112.972,-9800,-4550,11970
752.496,653.066,-114.314,-11060,-6790,12180
746.457,650.077,-118.767,-11690,-8400,11900
742.004,645.319,-126.087,-11760,-9240,11690
738.588,641.476,-130.723,-11410,-9030,11200
734.806,648.979,-133.407,-10710,-8330,10570
737.734,659.349,-138.226,-9660,-7210,10430
743.834,658.861,-132.614,-8260,-5880,11060
749.812,651.602,-127.185,-7070,-5040,11900
752.13,643.672,-120.597,-6440,-4760,12530
756.095,636.047,-113.399,-6230,-5110,13230
757.498,630.862,-109.129,-6230,-5810,13580
